date,1. open,2. high,3. low,4. close,5. volume
2021-04-07 20:00:00,671.32,672.8399,671.14,672.4,28903.0
2021-04-07 19:00:00,672.86,672.86,670.0,671.0,32340.0
2021-04-07 18:00:00,673.62,674.0,672.0,672.0,27885.0
2021-04-07 17:00:00,670.97,675.75,670.97,673.75,270529.0
2021-04-07 16:00:00,673.49,675.8,667.84,671.03,3974641.0
2021-04-07 15:00:00,674.475,682.04,672.802,673.5,3905593.0
2021-04-07 14:00:00,675.0842,679.62,674.1,674.46,2699547.0
2021-04-07 13:00:00,684.38,684.93,674.0,675.16,4009234.0
2021-04-07 12:00:00,686.95,689.13,682.5,684.35,3140359.0
2021-04-07 11:00:00,688.905,691.38,686.02,686.87,3958170.0
2021-04-07 10:00:00,687.6,689.5,682.3,689.0875,3725336.0
2021-04-07 09:00:00,689.9999,693.349,687.75,687.75,99896.0
2021-04-07 08:00:00,690.84,692.0,688.95,690.3,44026.0
2021-04-07 07:00:00,689.35,691.2,689.35,691.2,6755.0
2021-04-07 06:00:00,690.78,690.8,689.0,689.0,11605.0
2021-04-07 05:00:00,692.87,693.0,688.0,690.5,24538.0
2021-04-06 20:00:00,691.45,692.6,691.45,692.5,25105.0
2021-04-06 19:00:00,691.66,691.66,690.55,691.3,14814.0
2021-04-06 18:00:00,691.29,692.01,690.88,691.15,25164.0
2021-04-06 17:00:00,691.62,691.62,690.3961,691.55,446620.0
2021-04-06 16:00:00,694.65,696.53,689.1,691.63,3539591.0
2021-04-06 15:00:00,689.92,696.55,689.67,694.4452,4031152.0
2021-04-06 14:00:00,690.21,690.4,684.46,689.99,2580005.0
2021-04-06 13:00:00,692.63,692.8099,686.6802,690.3,2473766.0
2021-04-06 12:00:00,692.0,695.7777,688.96,692.67,3961251.0
2021-04-06 11:00:00,687.2388,694.455,686.1,692.0401,5872982.0
2021-04-06 10:00:00,692.6466,692.8,681.37,687.42,4721392.0
2021-04-06 09:00:00,694.7,695.34,691.5,692.5,131583.0
2021-04-06 08:00:00,691.58,694.79,690.65,694.7,88569.0
2021-04-06 07:00:00,691.6,692.3,691.0,691.0,9860.0
2021-04-06 06:00:00,691.51,693.99,691.15,691.17,5704.0
2021-04-06 05:00:00,690.5,694.79,689.56,691.44,31166.0
2021-04-05 20:00:00,691.88,692.7,691.79,692.6999,43766.0
2021-04-05 19:00:00,691.29,692.65,691.1,691.87,41250.0
2021-04-05 18:00:00,691.5,691.65,690.11,691.0,91693.0
2021-04-05 17:00:00,690.64,692.22,689.5,691.5,554419.0
2021-04-05 16:00:00,702.91,705.25,690.131,691.0,5553913.0
2021-04-05 15:00:00,697.3,703.74,697.3,703.0242,4957414.0
2021-04-05 14:00:00,687.24,698.95,686.8198,697.2778,4093257.0
2021-04-05 13:00:00,694.57,707.75,684.7,686.9101,3574219.0
2021-04-05 12:00:00,694.17,700.15,691.11,694.671,4743342.0
2021-04-05 11:00:00,694.9504,703.0,689.5706,693.9401,7940596.0
2021-04-05 10:00:00,708.65,710.0,693.17,694.8762,8022334.0
2021-04-05 09:00:00,711.65,713.49,707.32,708.81,512522.0
2021-04-05 08:00:00,712.52,713.47,704.13,711.65,619672.0
2021-04-05 07:00:00,712.6,713.8,708.21,712.5,54509.0
2021-04-05 06:00:00,705.5,716.7,704.2,713.17,125875.0
2021-04-05 05:00:00,700.0,705.1,688.0,705.1,225497.0
2021-04-01 20:00:00,659.89,660.43,658.0,658.0,67241.0
2021-04-01 19:00:00,660.32,660.5,659.0001,659.5,23589.0
