ticker,1day_lag_close,1day_lag_high,1day_lag_low,1day_lag_open,1day_lag_volume,2day_lag_close,2day_lag_high,2day_lag_low,2day_lag_open,2day_lag_volume,3day_lag_close,3day_lag_high,3day_lag_low,3day_lag_open,3day_lag_volume,4day_lag_close,4day_lag_high,4day_lag_low,4day_lag_open,4day_lag_volume,5day_lag_close,5day_lag_high,5day_lag_low,5day_lag_open,5day_lag_volume
AACG,4.39,4.9,4.2,4.9,810597.0,5.01,6.06,4.8701,5.32,2400793.0,5.29,5.5,4.64,4.81,1732300.0,4.74,5.14,4.53,4.53,681868.0,4.6,4.65,4.23,4.23,292586.0
AACQ,10.13,10.358,10.11,10.3,1717149.0,10.33,10.36,10.26,10.35,943334.0,10.31,10.535,10.295,10.45,1470800.0,10.36,10.56,10.31,10.36,2486503.0,10.35,10.4,10.3,10.3,2236380.0
AACQU,10.74,10.91,10.71,10.8704,4756.0,11.07,11.23,10.96,11.23,5213.0,11.11,11.36,11.0934,11.093,10000.0,11.19,11.28,11.0,11.0,5833.0,11.26,11.26,11.11,11.21,7300.0
AACQW,1.94,2.165,1.87,2.14,319420.0,2.09,2.405,2.06,2.4,264035.0,2.2,2.4485,2.19,2.39,150661.0,2.35,2.46,2.23,2.25,418783.0,2.25,2.25,2.06,2.13,189863.0
AAL,22.27,23.66,22.08,23.35,55291235.0,23.83,24.7,23.76,24.62,41574297.0,24.97,25.11,23.88,24.68,49393100.0,24.7,26.09,24.55,25.12,53368955.0,25.16,25.22,23.9,24.12,38540131.0
AAME,5.14,6.59,4.5,5.1405,2631983.0,5.33,5.46,5.06,5.44,630646.0,5.7,6.74,5.12,5.49,19821300.0,4.54,4.57,4.26,4.26,1274775.0,4.26,4.28,4.06,4.18,44839.0
AAOI,8.09,8.45,8.05,8.35,630392.0,8.48,8.662,8.375,8.51,419158.0,8.48,8.62,8.34,8.49,1006800.0,8.37,9.02,8.28,8.74,582979.0,8.77,8.85,8.565,8.74,555553.0
AAON,70.05,70.89,69.71,70.47,168146.0,70.98,72.67,70.1801,72.67,126804.0,72.34,73.12,71.515,72.7,448200.0,72.85,73.8,71.38,72.33,144699.0,72.56,73.02,71.68,72.54,139881.0
AAPL,122.54,124.24,122.14,123.33,95467142.0,123.39,123.87,120.26,120.33,111912284.0,119.99,121.43,119.675,119.9,185023200.0,120.53,123.18,120.33,122.88,118907153.0,124.76,125.8599,122.34,124.05,111932636.0
AAWW,57.25,59.44,56.9,59.12,564810.0,59.5,59.9583,58.31,59.05,341598.0,59.21,59.68,57.27,59.31,880100.0,58.65,60.79,58.49,59.22,424082.0,59.22,59.62,58.06,58.21,303090.0
